Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
YHR206W	SKN7	8	512732	514600	1
YPL090C	RPS6A	16	377291	378395	-1
YLR132C	USB1	12	407283	408155	-1
YNL025C	SSN8	14	584320	585291	-1
YDR483W	KRE2	4	1421157	1422485	1
YPR027C		16	620425	621258	-1
YPL067C		16	425251	425847	-1
YCR026C	NPP1	3	164111	166339	-1
YDL214C	PRR2	4	74446	76545	-1
YLR326W		12	782174	782896	1
YMR080C	NAM7	13	426712	429627	-1
YBL082C	ALG3	2	69751	71127	-1
YGL092W	NUP145	7	337906	341859	1
YGL159W		7	202721	203833	1
YDL017W	CDC7	4	424209	425732	1
YGL218W		7	83650	84300	1
YDR527W	RBA50	4	1491094	1492413	1
YBR093C	PHO5	2	429548	430951	-1
YGL138C		7	248494	249531	-1
YDR391C		4	1257358	1258056	-1
YOR131C		15	572182	572838	-1
YDR345C	HXT3	4	1162957	1164660	-1
YBR015C	MNN2	2	267710	269503	-1
YLR303W	MET17	12	732542	733876	1
YIL151C		9	57338	60694	-1
YDL185C-A		4	126608	126835	-1
YLR016C	PML1	12	176802	177416	-1
YLR127C	APC2	12	395758	398319	-1
YOL116W	MSN1	15	99809	100957	1
YJL222W	VTH2	10	11475	16124	1
YPL155C	KIP2	16	257216	259336	-1
YKR012C		11	463739	464116	-1
YNL186W	UBP10	14	289498	291876	1
YFR024C-A	LSB3	6	201960	203433	-1
YPR110C	RPC40	16	745828	746835	-1
YLR097C	HRT3	12	336231	337265	-1
YDR210C-C		4	882605	883927	-1
YNL324W		14	31050	31445	1
YMR238W	DFG5	13	746353	747729	1
YCR034W	FEN1	3	190592	191635	1
YCR106W	RDS1	3	310958	313456	1
YLR414C	PUN1	12	953353	954144	-1
YDR392W	SPT3	4	1258696	1259709	1
YIL035C	CKA1	9	287790	288908	-1
YBL032W	HEK2	2	160184	161329	1
YML049C	RSE1	13	174220	178305	-1
YDR416W	SYF1	4	1298432	1301011	1
YDL247W-A		4	3762	3836	1
YKL083W		11	280921	281535	1
YDL108W	KIN28	4	267698	268699	1
YBL022C	PIM1	2	177874	181275	-1
YGR176W		7	848720	849067	1
YMR240C	CUS1	13	749930	751240	-1
YIL089W		9	195599	196216	1
YPR052C	NHP6A	16	665693	665974	-1
YGL071W	AFT1	7	372012	374084	1
YPR159C-A		16	860314	860415	-1
YGR219W		7	936035	936376	1
YPL115C	BEM3	16	332100	335486	-1
YBL063W	KIP1	2	101886	105221	1
YMR049C	ERB1	13	368094	370517	-1
YMR045C		13	357359	362627	-1
YIL046W	MET30	9	268651	270573	1
YMR292W	GOT1	13	854795	855293	1
YDR243C	PRP28	4	948518	950284	-1
YDL008W	APC11	4	433497	433994	1
YNL126W	SPC98	14	387227	389767	1
YNR017W	TIM23	14	662913	663581	1
YOR383C	FIT3	15	1060441	1061055	-1
YOR246C	ENV9	15	795801	796793	-1
YLR095C	IOC2	12	329677	332115	-1
YNL050C		14	534079	534982	-1
YOR115C	TRS33	15	538659	539465	-1
YCR100C		3	301271	302221	-1
YNL096C	RPS7B	14	443398	444315	-1
YLL034C	R97	12	70633	73146	-1
YHR019C	DED81	8	141894	143558	-1
YLR075W	RPL10	12	282927	283592	1
YDL220C	CDC13	4	62244	65018	-1
YKL033W-A		11	374505	375215	1
YNL123W	NMA111	14	394685	397678	1
YPL084W	BRO1	16	394038	396572	1
YNL162W-A		14	330329	330547	1
YMR122W-A		13	511315	511569	1
YGR260W	TNA1	7	1012485	1014089	1
YFR031C-A	RPL2A	6	220507	221418	-1
YDR012W	RPL4B	4	471853	472941	1
YOR113W	AZF1	15	534075	536819	1
YCL005W	LDB16	3	108021	108791	1
YLR417W	VPS36	12	955010	956710	1
YIR003W	AIM21	9	360885	362924	1
YJR146W		10	703885	704238	1
YLR390W	ECM19	12	903066	903404	1
YBR233W-A	DAD3	2	684977	685261	1
YKL022C	CDC16	11	394726	397248	-1
YHR157W	REC104	8	412907	413455	1
YAL014C	SYN8	1	128252	129019	-1
YOL072W	THP1	15	194970	196337	1
YPL239W	YAR1	16	99484	100086	1
YJR055W	HIT1	10	538772	539266	1
YBR179C	FZO1	2	586547	589114	-1
YLR226W	BUR2	12	589354	590541	1
YFR048W	RMD8	6	246146	248134	1
YBR230W-A		2	680362	680562	1
YIL074C	SER33	9	221081	222490	-1
YGR031W	IMO32	7	546441	547469	1
YOR322C	LDB19	15	918606	921062	-1
YDL145C	COP1	4	194571	198176	-1
YOR033C	EXO1	15	392416	394524	-1
YKR077W	MSA2	11	583653	584744	1
YNL284C-A		14	100910	102232	-1
YPR088C	SRP54	16	711403	713028	-1
YPR063C		16	677812	678320	-1
YJR013W	GPI14	10	460382	461593	1
YKL046C	DCW1	11	351275	352624	-1
YER107C	GLE2	5	373448	374545	-1
YKL024C	URA6	11	392526	393140	-1
YPR054W	SMK1	16	666280	667446	1
YMR075W	RCO1	13	413982	416036	1
YMR012W	CLU1	13	291134	294967	1
YLR377C	FBP1	12	873746	874792	-1
YBR262C	AIM5	2	735720	736040	-1
YDR088C	SLU7	4	618497	619645	-1
YDR118W	APC4	4	685882	687840	1
YEL030W	ECM10	5	94644	96578	1
YIR034C	LYS1	9	419615	420736	-1
YKL008C	LAC1	11	427295	428551	-1
YMR291W	TDA1	13	852630	854390	1
YML011C	RAD33	13	246895	247428	-1
YPL048W	CAM1	16	464401	465648	1
YIL159W	BNR1	9	41825	45952	1
YGL120C	PRP43	7	281634	283937	-1
YCL048W	SPS22	3	42165	43556	1
YAR008W	SEN34	1	158966	159793	1
YER179W	DMC1	5	548421	549517	1
YGL116W	CDC20	7	289809	291641	1
YJR047C	ANB1	10	524908	525381	-1
YKL219W	COS9	11	14485	15708	1
YPR126C		16	789077	789385	-1
YMR001C	CDC5	13	269019	271136	-1
YGL227W	VID30	7	69671	72547	1
YLR406C	RPL31B	12	931065	931755	-1
YDR506C		4	1459728	1461554	-1
YER135C		5	437952	438344	-1
YDR299W	BFR2	4	1059627	1061231	1
YOR223W		15	759782	760660	1
YBR298C	MAL31	2	802631	804475	-1
YLR001C		12	151389	153977	-1
YAL003W	EFB1	1	142174	143160	1
YHR185C	PFS1	8	474627	475340	-1
YPL049C	DIG1	16	462481	463839	-1
YBR187W	GDT1	2	602634	603476	1
YBL111C		2	2907	5009	-1
YKL159C	RCN1	11	153816	154451	-1
YNL260C		14	156859	157455	-1
YLR154W-B		12	454392	454556	1
YJL210W	PEX2	10	36919	37734	1
YBL015W	ACH1	2	194122	195702	1
YAL054C	ACS1	1	42881	45022	-1
YCR097W-A		3	294439	294705	1
YMR119W	ASI1	13	505333	507207	1
YDL020C	RPN4	4	415113	416708	-1
YDR174W	HMO1	4	812110	812850	1
YBR055C	PRP6	2	344602	347301	-1
YIL018W	RPL2B	9	316768	317932	1
YJL105W	SET4	10	225055	226737	1
YGR040W	KSS1	7	575398	576504	1
YJR103W	URA8	10	620754	622490	1
YLL037W		12	66562	66942	1
YOR191W	ULS1	15	692475	697334	1
YOR013W	IRC11	15	356751	357221	1
YGL210W	YPT32	7	93792	94460	1
YML036W	CGI121	13	205642	206293	1
YOL134C		15	70156	70545	-1
YFL051C		6	30058	30540	-1
YJL205C	NCE101	10	50139	50443	-1
YLR293C	GSP1	12	720771	721430	-1
YDR413C		4	1294836	1295411	-1
YHR031C	RRM3	8	170799	172970	-1
YLR149C-A		12	440370	440456	-1
YJR118C	ILM1	10	643490	644101	-1
YIR040C		9	433389	433721	-1
YLR177W		12	511054	512940	1
YMR031W-A		13	334709	335035	1
YBL005W-B		2	221330	226598	1
YGR279C	SCW4	7	1048798	1049958	-1
YBR290W	BSD2	2	782591	783556	1
YGL123W	RPS2	7	277617	278381	1
YOL115W	PAP2	15	101475	103229	1
YOR231W	MKK1	15	772601	774127	1
YMR062C	ARG7	13	395054	396379	-1
YPL176C	TRE1	16	216012	218363	-1
YJR134C	SGM1	10	673729	675852	-1
YLL051C	FRE6	12	37333	39471	-1
YDL094C		4	289572	290081	-1
YLR119W	SRN2	12	385534	386175	1
YIL064W	SEE1	9	241943	242716	1
YDR165W	TRM82	4	784871	786205	1
YNL142W	MEP2	14	357453	358952	1
YMR222C	FSH2	13	715638	716309	-1
YHR144C	DCD1	8	387788	388726	-1
YPL198W	RPL7B	16	173152	174702	1
YBR178W		2	586071	586445	1
YNL311C	SKP2	14	49397	51688	-1
YLR242C	AR6	12	622918	623883	-1
YER057C	HMF1	5	270737	271126	-1
YML029W	USA1	13	217362	219878	1
YCR087C-A		3	264006	264467	-1
YLR337C	VRP1	12	802653	805106	-1
YAL033W	POP5	1	82706	83227	1
YNR060W	FRE4	14	739951	742110	1
YLR333C	RPS25B	12	795573	795899	-1
YGL087C	MMS2	7	346406	346904	-1
YML037C		13	204386	205408	-1
YDL101C	DUN1	4	280307	281848	-1
YDR195W	REF2	4	848599	850200	1
YDR322W	MRPL35	4	1110589	1111692	1
YDL102W	POL3	4	276872	280165	1
YOR170W		15	651858	652163	1
YGR276C	RNH70	7	1043819	1045480	-1
YBR126C	TPS1	2	488905	490392	-1
YJL081C	ARP4	10	283802	285271	-1
YLR363W-A		12	853461	853718	1
YGR076C	MRPL25	7	637104	637577	-1
YMR075C-A		13	415688	416053	-1
YCR020C-A	MAK31	3	154830	155096	-1
YDL141W	BPL1	4	203039	205111	1
YNL114C		14	412684	413055	-1
YML010W	SPT5	13	247677	250868	1
YDR463W	STP1	4	1386816	1388375	1
YHR054C		8	213185	214249	-1
YPL168W		16	231217	232509	1
YDR328C	SKP1	4	1125434	1126018	-1
YDR344C		4	1162006	1162449	-1
YGR021W		7	527632	528504	1
YPL237W	SUI3	16	100496	101353	1
YKR056W	TRM2	11	549448	551367	1
YMR224C	MRE11	13	718575	720653	-1
YPR105C	COG4	16	736984	739569	-1
YKL030W		11	382498	383103	1
YPL083C	SEN54	16	396702	398105	-1
YBL059C-A	CMC2	2	110125	110539	-1
YAL016C-A		1	124755	125069	-1
YMR172W	HOT1	13	605981	608140	1
YHR021C	RPS27B	8	147871	148669	-1
YGL217C		7	84839	85180	-1
YOL140W	ARG8	15	58759	60030	1
YGL107C	RMD9	7	304333	306273	-1
YGR128C	UTP8	7	747950	750091	-1
YNR020C	ATP23	14	667410	668222	-1
YOR206W	NOC2	15	727512	729644	1
YPR017C	DSS4	16	593486	593917	-1
YDL132W	CDC53	4	224304	226751	1
YER137C-A		5	447702	449024	-1
YNR039C	ZRG17	14	697614	699431	-1
YAL063C	FLO9	1	24000	27968	-1
YFR016C		6	177042	180743	-1
YGL193C		7	141916	142227	-1
YCR010C	ADY2	3	132273	133124	-1
YDR283C	GCN2	4	1025070	1030049	-1
YBL071C		2	90223	90531	-1
YOR354C	MSC6	15	1001147	1003225	-1
YNL309W	STB1	14	52662	53924	1
YMR143W	RPS16A	13	551928	552903	1
YGR183C	QCR9	7	859063	859476	-1
YGR179C	OKP1	7	853675	854895	-1
YGR175C	ERG1	7	846933	848423	-1
YAR020C	PAU7	1	176856	177023	-1
YKR072C	SIS2	11	576435	578123	-1
YNL265C	IST1	14	144280	145281	-1
YKL211C	TRP3	11	36699	38153	-1
YMR192W	GYL1	13	647118	649280	1
YLR274W	MCM5	12	691555	693882	1
YGL043W	DST1	7	417483	418412	1
YPR189W	SKI3	16	912664	916962	1
YDL103C	QRI1	4	275148	276581	-1
YDL152W		4	182822	183187	1
YNL196C	SLZ1	14	270275	271171	-1
YHL003C	LAG1	8	100648	101883	-1
YGL135W	RPL1B	7	254641	255294	1
YJL155C	FBP26	10	129285	130643	-1
YHR212W-A		8	538742	538945	1
YOL132W	GAS4	15	71300	72715	1
YGL082W		7	355827	356972	1
YNR048W		14	711630	712811	1
YDL134C	PPH21	4	219662	220771	-1
YHR083W	SAM35	8	272627	273616	1
YLL023C	POM33	12	97997	98836	-1
YGR204W	ADE3	7	905934	908774	1
YLR202C		12	550194	550636	-1
YFR005C	SAD1	6	154527	155873	-1
YBR216C	YBP1	2	655576	657600	-1
YGR265W		7	1021648	1022058	1
YEL020W-A	TIM9	5	117211	117474	1
YEL038W	UTR4	5	80462	81145	1
YCR035C	RRP43	3	191834	193018	-1
YLR022C	SDO1	12	184174	184926	-1
YMR026C	PEX12	13	324236	325435	-1
YJR016C	ILV3	10	464451	466208	-1
YDR176W	NGG1	4	814452	816560	1
YGL004C	RPN14	7	490703	491956	-1
YDR222W		4	910054	911301	1
YPR162C	ORC4	16	866715	868304	-1
YEL076C-A		5	4185	5114	-1
YEL054C	RPL12A	5	52721	53218	-1
YDR020C	DAS2	4	485746	486444	-1
YKL165C	MCD4	11	137932	140691	-1
YPR129W	SCD6	16	792687	793736	1
YDL091C	UBX3	4	293392	294759	-1
YJL154C	VPS35	10	131101	133935	-1
YKL164C	PIR1	11	141794	142819	-1
YDR220C		4	907000	907293	-1
YDR074W	TPS2	4	593893	596583	1
YBR240C	THI2	2	700490	701842	-1
YHR086W-A		8	280231	280392	1
YDR251W	PAM1	4	960614	963106	1
YOL042W	NGL1	15	249825	250916	1
YHR196W	UTP9	8	491931	493658	1
YDR494W	RSM28	4	1436930	1438015	1
YGL142C	GPI10	7	236269	238119	-1
YKL151C		11	164917	165930	-1
YLL067C		12	585	4301	-1
YPL230W	US6	16	115312	116487	1
YOR144C	ELG1	15	602717	605092	-1
YOR046C	DBP5	15	414459	415907	-1
YLL062C	MHT1	12	16639	17613	-1
YLR255C		12	645600	645953	-1
YBL056W	PTC3	2	113762	115168	1
YER089C	PTC2	5	335946	337340	-1
YDL175C	AIR2	4	144484	145518	-1
YOR336W	KRE5	15	949773	953870	1
YKL100W-A		11	254159	254248	1
YML131W		13	10198	11295	1
YNL139C	THO2	14	360924	365717	-1
YHR192W		8	486826	487662	1
YNL313C	EMW1	14	45308	48022	-1
YCR051W		3	214071	214739	1
YGR067C		7	622372	624786	-1
YHL024W	RIM4	8	56649	58790	1
YJL185C		10	82095	82976	-1
YBL012C		2	203406	203807	-1
YER071C	TDA2	5	301947	302327	-1
YOR063W	RPL3	15	444686	445849	1
YDR524C-B		4	1489598	1489798	-1
YDR102C		4	657648	657980	-1
YPL076W	GPI2	16	410443	411285	1
YIR002C	MPH1	9	357415	360396	-1
YMR294W	JNM1	13	856966	858087	1
YER044C-A	MEI4	5	238460	239774	-1
YIL017C	VID28	9	318200	320965	-1
YML110C	COQ5	13	50031	50954	-1
YPR065W	ROX1	16	679693	680799	1
YLR288C	MEC3	12	713480	714904	-1
YHR213W-B		8	540800	541099	1
YJL093C	TOK1	10	254737	256812	-1
YNR069C	BSC5	14	761123	762592	-1
YLR170C	APS1	12	500579	501049	-1
YCR057C	PWP2	3	220457	223228	-1
YJL160C		10	117962	118825	-1
YBR287W		2	776571	777854	1
Q0050	AI1	Mito	13818	16322	1
YDR356W	SPC110	4	1186107	1188941	1
YER077C		5	314534	316600	-1
YDL033C	SLM3	4	392659	393912	-1
YJR083C	ACF4	10	582608	583537	-1
YDR291W	HRQ1	4	1039728	1042961	1
YGR239C	PEX21	7	969187	970053	-1
YML057C-A		13	160023	160412	-1
YER031C	YPT31	5	214076	214747	-1
YFR057W		6	269061	269516	1
YOR006C	TSR3	15	337680	338621	-1
YPR204W		16	944603	947701	1
YNL283C	WSC2	14	105184	106695	-1
YGR153W		7	796092	796745	1
YOL032W	OPI10	15	265429	266169	1
YLR194C		12	540809	541573	-1
YPR158C-C		16	854935	856257	-1
YER168C	CCA1	5	521029	522669	-1
YML031C-A		13	214086	214421	-1
YDR079C-A	TFB5	4	603593	603811	-1
YFR032C-A	RPL29	6	223258	223437	-1
YJL151C	SNA3	10	136372	136773	-1
YOR332W	VMA4	15	943656	944357	1
YMR181C		13	623616	624080	-1
YOL010W	RCL1	15	307938	309041	1
YDL042C	SIR2	4	376757	378445	-1
YNL109W		14	418964	419509	1
YKR022C	NTR2	11	482171	483139	-1
YNL148C	ALF1	14	349907	350671	-1
YMR318C	ADH6	13	911061	912143	-1
YGL078C	DBP3	7	360288	361859	-1
YER142C	MAG1	5	455146	456036	-1
YIL065C	FIS1	9	241308	241775	-1
YPL062W		16	431895	432299	1
YKR074W	AIM29	11	579209	579676	1
YNL099C	OCA1	14	438567	439283	-1
YKL201C	MNN4	11	63930	67466	-1
YPR083W	MDM36	16	704854	706593	1
YBL033C	RIB1	2	158656	159693	-1
YDL159W-A		4	172182	172313	1
YCL057W	PRD1	3	24768	26906	1
YHR102W	KIC1	8	316572	319814	1
YDR117C	TMA64	4	683946	685643	-1
YLR245C	CDD1	12	626502	626930	-1
YNL198C		14	266514	266816	-1
YLR185W	RPL37A	12	522663	523288	1
YGL216W	KIP3	7	84885	87302	1
YPL254W	HFI1	16	69485	70951	1
YNL100W	AIM37	14	437613	438317	1
YPL184C	MRN1	16	195950	197788	-1
YDR492W	IZH1	4	1434924	1435874	1
YER006W	NUG1	5	162723	164285	1
YOL114C		15	103317	103925	-1
YNL288W	CAF40	14	90303	91424	1
YGR096W	TPC1	7	676621	677565	1
YER132C	PMD1	5	425188	430449	-1
YJL008C	CCT8	10	419957	421663	-1
YHR202W		8	502388	504196	1
YJR041C	URB2	10	510239	513763	-1
YHR094C	HXT1	8	290913	292625	-1
YKR045C		11	523418	523969	-1
YPR140W	TAZ1	16	814391	815536	1
YPR029C	APL4	16	624469	626967	-1
YNL318C	HXT14	14	38707	40329	-1
YDR276C	PMP3	4	1013476	1013643	-1
YHR165C	PRP8	8	429707	436948	-1
YLL014W	EMC6	12	121322	121648	1
YOR272W	YTM1	15	832813	834195	1
YLL056C		12	27409	28305	-1
YOL040C	RPS15	15	253149	253577	-1
YGR143W	SKN1	7	775193	777508	1
YPL165C	SET6	16	237956	239077	-1
YNR026C	SEC12	14	673274	674689	-1
YLR120W-A		12	388672	388773	1
YOR203W		15	722565	722918	1
YBL013W	FMT1	2	202056	203261	1
YER038W-A		5	228451	228831	1
YMR013W-A		13	298311	298391	1
YOR302W		15	882765	882842	1
YGR122W		7	733935	735143	1
YLR076C		12	283185	283607	-1
YGR221C	TOS2	7	937124	938992	-1
YLL018C	DPS1	12	109902	111575	-1
YDR275W	BSC2	4	1012252	1012959	1
YDR295C	HDA2	4	1052623	1054647	-1
YHR140W		8	380572	381291	1
YKL127W	PGM1	11	203541	205253	1
YJL131C	AIM23	10	164278	165348	-1
YOR241W	MET7	15	786995	788641	1
YDR382W	RPP2B	4	1239492	1239824	1
YDR495C	VPS3	4	1438115	1441150	-1
YOL129W	VPS68	15	77560	78114	1
YNL102W	POL1	14	430087	434493	1
YML014W	TRM9	13	243225	244064	1
YDR237W	MRPL7	4	936615	937493	1
YOR343W-A		15	970578	971894	1
YKR009C	FOX2	11	454352	457054	-1
YGL006W-A		7	485423	485533	1
YJR129C		10	664000	665019	-1
YPR039W		16	647012	647347	1
YPR024W	YME1	16	610481	612724	1
YOR289W		15	853357	854112	1
YLR259C	HSP60	12	663284	665002	-1
YIL102C		9	174582	174887	-1
YOR229W	WTM2	15	768409	769812	1
YKR049C	FMP46	11	526830	527231	-1
YKL073W	LHS1	11	296430	299075	1
YDR496C	PUF6	4	1441433	1443403	-1
YBL070C		2	90605	90925	-1
YPL042C	SSN3	16	473040	474707	-1
YJL133W	MRS3	10	160619	161563	1
YOL077W-A	ATP19	15	185438	185644	1
YCL040W	GLK1	3	50838	52340	1
YPL145C	KES1	16	278395	279699	-1
YDL146W	LDB17	4	192750	194225	1
YDR100W	TVP15	4	655013	655444	1
YJR004C	SAG1	10	442909	444861	-1
YBR186W	PCH2	2	600553	602360	1
YKL137W	CMC1	11	185957	186292	1
Q0160	SCE1	Mito	61022	61729	1
YDR098C-A		4	649804	651126	-1
YFR041C	ERJ5	6	237368	238255	-1
YLR133W	CKI1	12	408445	410193	1
YKL006C-A	SFT1	11	430198	430632	-1
YPR192W	AQY1	16	921860	922777	1
YMR189W	GCV2	13	637500	640604	1
YOR137C	SIA1	15	581813	583681	-1
YNL215W	IES2	14	244468	245430	1
YDL105W	NSE4	4	272389	273597	1
YOR161W-A		15	637574	637654	1
YDR111C	ALT2	4	678241	679764	-1
YCL029C	BIK1	3	68599	69921	-1
YDR172W	SUP35	4	808324	810381	1
YPL064C	CWC27	16	428711	429616	-1
YML054C-A		13	167623	167781	-1
YNL085W	MKT1	14	467131	469623	1
YAL031W-A		1	84669	84977	1
YDL230W	PTP1	4	42700	43707	1
YFR025C	HIS2	6	203743	204750	-1
YHR093W	AHT1	8	289142	289690	1
YOR050C		15	424270	424617	-1
YNL264C	PDR17	14	145563	146615	-1
YGL051W	MST27	7	403687	404391	1
YBL038W	MRPL16	2	146187	146885	1
YHR148W	IMP3	8	393534	394085	1
YPL166W	ATG29	16	237338	237979	1
YIL165C		9	33718	34077	-1
YJL005W	CYR1	10	425157	431237	1
YDR103W	STE5	4	658350	661103	1
YNL130C-A	DGR1	14	381245	381391	-1
YAR050W	FLO1	1	203403	208016	1
YPL026C	SKS1	16	500675	502183	-1
YJR006W	POL31	10	449202	450665	1
YLR044C	PDC1	12	232390	234081	-1
YJL115W	ASF1	10	196287	197126	1
YLR262C	YPT6	12	668244	668891	-1
YDR386W	MUS81	4	1246084	1247982	1
YJL099W	CHS6	10	239414	241654	1
YLR422W		12	965897	971695	1
YJR154W		10	725784	726824	1
YNL333W	SNZ2	14	13267	14163	1
YFR010W	UBP6	6	165067	166566	1
YJL161W	FMP33	10	117245	117787	1
YJR097W	JJJ3	10	612413	612931	1
YIR021W	MRS1	9	397294	398385	1
YJR046W	TAH11	10	522048	523862	1
YPR103W	PRE2	16	732349	733212	1
YBL088C	TEL1	2	51019	59382	-1
YJR122W	IBA57	10	649776	651269	1
YOR390W		15	1076784	1077911	1
YML105C	SEC65	13	57866	58687	-1
YCR047W-A		3	211301	211507	1
YDL245C	HXT15	4	11657	13360	-1
YEL049W	PAU2	5	63728	64090	1
YKL035W	UGP1	11	369891	371390	1
YMR056C	AAC1	13	387315	388244	-1
YDR141C	DOP1	4	734901	739997	-1
YGL171W	ROK1	7	182390	184084	1
YLR115W	CFT2	12	377985	380564	1
YOR373W	NUD1	15	1036834	1039389	1
YOL096C	COQ3	15	138107	139045	-1
YGR249W	MGA1	7	988049	989419	1
YLR235C		12	611532	611930	-1
YAR035W	YAT1	1	190193	192256	1
YGR198W	YPP1	7	894693	897146	1
YBR081C	SPT7	2	401253	405251	-1
YJR026W		10	472760	474082	1
YNR022C	MRPL50	14	669774	670193	-1
YPL167C	REV3	16	232593	237107	-1
YDR034C	LYS14	4	509737	512109	-1
YBR033W	EDS1	2	301944	304703	1
YGR291C		7	1076283	1076504	-1
YPL186C	UIP4	16	194512	195426	-1
YBL084C	CDC27	2	67169	69445	-1
YOR352W		15	997213	998244	1
YDL030W	PRP9	4	397537	399129	1
YLR406C-A		12	932206	932355	-1
YAL013W	DEP1	1	129270	130487	1
YLR294C		12	721701	722030	-1
YBR012C		2	259147	259566	-1
YJL031C	BET4	10	386368	387438	-1
YKR084C	HBS1	11	597055	598890	-1
YDL104C	QRI7	4	273653	274876	-1
YHR175W	CTR2	8	452872	453441	1
YGR174W-A		7	846655	846741	1
YBL008W-A		2	209409	209648	1
YBR002C	RER2	2	241708	242568	-1
YBR246W	RRT2	2	711591	712754	1
YDR119W-A		4	691014	691214	1
YHR121W	LSM12	8	352756	353319	1
YEL017W	GTT3	5	123657	124670	1
YDL067C	COX9	4	334217	334396	-1
YKL180W	RPL17A	11	109269	110129	1
YGR037C	ACB1	7	559731	559994	-1
YML123C	PHO84	13	24037	25800	-1
YDR280W	RRP45	4	1020747	1021664	1
YBR191W	RPL21A	2	606270	607140	1
YGL083W	SCY1	7	353058	355472	1
YML133W-B		13	827	1309	1
YMR229C	RRP5	13	725934	731123	-1
YAL068C	PAU8	1	1807	2169	-1
YAL060W	BDH1	1	35155	36303	1
YCL036W	GFD2	3	59026	60726	1
YIL156W	UBP7	9	48091	51306	1
YPL046C	ELC1	16	466644	466943	-1
YDL206W		4	90176	92464	1
YCR019W	MAK32	3	152837	153928	1
YGR025W		7	532639	532941	1
YIL072W	HOP1	9	226602	228419	1
Q0060	AI3	Mito	13818	19996	1
YDL122W	UBP1	4	242552	244981	1
YPL136W		16	296286	296654	1
YBR218C	PYC2	2	658707	662249	-1
YJL207C	LAA1	10	41389	47433	-1
YBL069W	AST1	2	90741	92030	1
YOR361C	PRT1	15	1015361	1017652	-1
YGR050C		7	592086	592442	-1
YKR029C	SET3	11	497578	499833	-1
YML031W	NDC1	13	214189	216156	1
YNR014W		14	652465	653103	1
YBL035C	POL12	2	151493	153610	-1
YBR166C	TYR1	2	569842	571200	-1
YHR087W	RTC3	8	280820	281155	1
YDR151C	CTH1	4	764178	765155	-1
YGL026C	TRP5	7	446412	448535	-1
YDR271C		4	1008395	1008766	-1
YDR433W		4	1329600	1330040	1
YER047C	SAP1	5	243810	246503	-1
YEL050C	RML2	5	59670	60851	-1
YKL136W		11	186416	186814	1
YGL036W		7	428601	431330	1
YIL093C	RSM25	9	187990	188784	-1
YDL087C	LUC7	4	300214	300999	-1
YPL135W	ISU1	16	297553	298050	1
YOR326W	MYO2	15	925721	930445	1
YNL195C		14	271523	272308	-1
YBR143C	SUP45	2	530869	532182	-1
YDR374W-A		4	1224757	1225026	1
YNR068C		14	760067	760885	-1
YJR064W	CCT5	10	555914	557602	1
YPL074W	YTA6	16	415763	418027	1
YLR426W	TDA5	12	987062	988113	1
YGR035W-A		7	557565	557786	1
YOR276W	CAF20	15	841333	841818	1
YCL058C	FYV5	3	23523	23981	-1
YGR261C	APL6	7	1014321	1016750	-1
YBL102W	SFT2	2	24098	24745	1
YGR049W	SCM4	7	591314	591877	1
YLR335W	NUP2	12	797430	799592	1
YGL053W	PRM8	7	402589	403302	1
YHR156C	LIN1	8	411384	412406	-1
YIR012W	SQT1	9	378486	379781	1
YDR129C	SAC6	4	713340	715379	-1
YLL026W	HSP104	12	88623	91349	1
YLR056W	ERG3	12	253861	254958	1
YMR283C	RIT1	13	835326	836867	-1
YML133C		13	461	4684	-1
YER083C	GET2	5	326174	327031	-1
YGL132W		7	261580	261915	1
YLR110C	CCW12	12	369697	370098	-1
YGR099W	TEL2	7	687899	689965	1
YBR137W		2	513044	513583	1
YJR062C	NTA1	10	553476	554849	-1
YNL094W	APP1	14	447611	449374	1
YNL281W	HCH1	14	108467	108928	1
YHR022C		8	149575	150345	-1
YAR033W	MST28	1	188107	188811	1
YDR320W-B		4	1108484	1108621	1
YFL020C	PAU5	6	99231	99599	-1
YCL001W-A		3	113080	113541	1
YHR001W-A	QCR10	8	107826	108122	1
YGR010W	NMA2	7	511545	512732	1
YDL098C	SNU23	4	284581	285165	-1
YMR150C	IMP1	13	561956	562528	-1
YLR282C		12	705071	705412	-1
YGL024W		7	449788	450123	1
YBR057C	MUM2	2	352193	353293	-1
YOR153W	PDR5	15	619840	624375	1
YPL032C	SVL3	16	488887	491364	-1
YLR034C	SMF3	12	210512	211933	-1
YGR157W	CHO2	7	802440	805049	1
YOR277C		15	841515	841823	-1
YCL047C	POF1	3	43661	44437	-1
YBR284W		2	771239	773632	1
YBL027W	RPL19B	2	168423	169376	1
YMR018W		13	310208	311752	1
YNL213C	RRG9	14	246460	247104	-1
YGR238C	KEL2	7	966039	968687	-1
YGR125W		7	742325	745435	1
YML100W-A		13	70138	70311	1
YKL130C	SHE2	11	195288	196028	-1
YDR536W	STL1	4	1508005	1509714	1
YNR058W	BIO3	14	734291	735733	1
YML103C	NUP188	13	62582	67549	-1
YIL051C	MMF1	9	257843	258280	-1
YOR104W	PIN2	15	517642	518490	1
YOR305W	RRG7	15	889022	889750	1
YDR183C-A		4	830397	830654	-1
YLR059C	REX2	12	259738	260547	-1
YPL129W	TAF14	16	305298	306137	1
YNL337W		14	7165	7419	1
YER079W		5	318920	319552	1
